date,day,week,university,enrollment,url,total_tests,positive_tests
2020-08-19,Wednesday,2,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-20,Thursday,2,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-21,Friday,2,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-22,Saturday,3,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,108.0,0.0
2020-08-23,Sunday,3,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-24,Monday,3,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-25,Tuesday,3,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-26,Wednesday,3,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-27,Thursday,3,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-28,Friday,3,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-29,Saturday,4,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,328.0,0.0
2020-08-30,Sunday,4,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-08-31,Monday,4,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-09-01,Tuesday,4,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-09-02,Wednesday,4,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-09-03,Thursday,4,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-09-04,Friday,4,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-09-05,Saturday,5,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,452.0,0.0
2020-09-06,Sunday,5,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-09-07,Monday,5,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-09-08,Tuesday,5,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-09-09,Wednesday,5,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-09-10,Thursday,5,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-09-11,Friday,5,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-09-12,Saturday,6,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,545.0,0.0
2020-09-13,Sunday,6,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-09-14,Monday,6,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
2020-09-15,Tuesday,6,The New England Conservatory of Music,782,https://necmusic.edu/nec-covid-19-testing-program,0.0,0.0
